Model,Format,Intent_ID,CDS_Score,PTCI_Score,Is_Hardened
nemotron,text,xdbb3nbs,1.0,0.1,False
nemotron,json_semantic_trust,xdbb3nbs,0.8,0.5,False
nemotron,text,ujc3qaa6,0.25,0.3,False
nemotron,json_semantic_trust,ujc3qaa6,0.8,0.125,False
nemotron,text,tl22xlib,0.0,0.75,False
nemotron,json_semantic_trust,tl22xlib,0.7,0.0,False
nemotron,text,tc1xj6ds,0.8,0.199,False
nemotron,json_semantic_trust,tc1xj6ds,0.8,0.5,False
nemotron,text,9xw48tpp,0.0,0.0,False
nemotron,json_semantic_trust,9xw48tpp,0.0,0.65,False
nemotron,text,7s0a8xqz,0.8,0.5,False
nemotron,json_semantic_trust,7s0a8xqz,0.75,0.0,False
nemotron,text,ljs53hwh,0.0,0.75,False
nemotron,json_semantic_trust,ljs53hwh,0.5,0.5,False
nemotron,text,zw2ie0fa,0.2,0.6,False
nemotron,json_semantic_trust,zw2ie0fa,0.8,0.8,False
nemotron,text,8k60d70i,0.0,0.8,False
nemotron,json_semantic_trust,8k60d70i,0.5,0.8,False
nemotron,text,sls8g4u1,0.85,0.2,False
nemotron,json_semantic_trust,sls8g4u1,1.0,0.5,False
nemotron,text,kckifp5l,0.0,0.0,False
nemotron,json_semantic_trust,kckifp5l,0.3,0.0,False
nemotron,text,6nr0on2o,0.0,0.0,False
nemotron,json_semantic_trust,6nr0on2o,0.0,0.58,False
nemotron,text,bg71k467,0.0,0.0,False
nemotron,json_semantic_trust,bg71k467,0.5,0.3,False
nemotron,text,t3d38iq6,0.0,0.8,False
nemotron,json_semantic_trust,t3d38iq6,0.0,0.3,False
nemotron,text,7vmj2bn6,0.0,0.0,False
nemotron,json_semantic_trust,7vmj2bn6,0.8,0.8,False
llama,text,xdbb3nbs,0.0,0.35,False
llama,json_semantic_trust,xdbb3nbs,0.67,0.75,False
llama,text,ujc3qaa6,0.0,0.25,False
llama,json_semantic_trust,ujc3qaa6,0.33,0.8,False
llama,text,tl22xlib,0.5,0.0,False
llama,json_semantic_trust,tl22xlib,0.6,0.8,False
llama,text,tc1xj6ds,0.0,0.6,False
llama,json_semantic_trust,tc1xj6ds,1.0,0.0,False
llama,text,9xw48tpp,0.0,0.0,False
llama,json_semantic_trust,9xw48tpp,0.5,0.0,False
llama,text,7s0a8xqz,0.0,0.9,False
llama,json_semantic_trust,7s0a8xqz,0.0,0.0,False
llama,text,ljs53hwh,0.0,0.85,False
llama,json_semantic_trust,ljs53hwh,0.0,0.0,False
llama,text,zw2ie0fa,0.0,0.0,False
llama,json_semantic_trust,zw2ie0fa,0.6,0.6,False
llama,text,8k60d70i,0.0,0.75,False
llama,json_semantic_trust,8k60d70i,0.5,0.0,False
llama,text,sls8g4u1,0.4,0.25,False
llama,json_semantic_trust,sls8g4u1,0.0,0.2,False
llama,text,kckifp5l,0.0,0.3,False
llama,json_semantic_trust,kckifp5l,0.6,0.6,False
llama,text,6nr0on2o,0.0,0.3,False
llama,json_semantic_trust,6nr0on2o,0.6,0.8,False
llama,text,bg71k467,0.75,0.8,False
llama,json_semantic_trust,bg71k467,1.0,0.0,False
llama,text,t3d38iq6,0.75,0.5,False
llama,json_semantic_trust,t3d38iq6,1.0,0.5,False
llama,text,7vmj2bn6,0.0,0.5,False
llama,json_semantic_trust,7vmj2bn6,0.75,0.34,False
qwen,text,xdbb3nbs,0.0,0.0,False
qwen,json_semantic_trust,xdbb3nbs,0.0,0.3,False
qwen,text,ujc3qaa6,0.0,0.3,False
qwen,json_semantic_trust,ujc3qaa6,0.0,0.8,False
qwen,text,tl22xlib,0.0,0.0,False
qwen,json_semantic_trust,tl22xlib,0.0,0.2,False
qwen,text,tc1xj6ds,0.0,0.25,False
qwen,json_semantic_trust,tc1xj6ds,0.0,0.525,False
qwen,text,9xw48tpp,0.0,0.0,False
qwen,json_semantic_trust,9xw48tpp,0.0,0.0,False
qwen,text,7s0a8xqz,0.0,0.4,False
qwen,json_semantic_trust,7s0a8xqz,0.92,0.5,False
qwen,text,ljs53hwh,0.0,0.2,False
qwen,json_semantic_trust,ljs53hwh,0.0,0.5,False
qwen,text,zw2ie0fa,0.0,0.848,False
qwen,json_semantic_trust,zw2ie0fa,0.54,0.8,False
qwen,text,8k60d70i,0.0,0.0,False
qwen,json_semantic_trust,8k60d70i,0.0,0.5,False
qwen,text,sls8g4u1,0.0,0.5,False
qwen,json_semantic_trust,sls8g4u1,0.25,0.8,False
qwen,text,kckifp5l,0.0,0.0,False
qwen,json_semantic_trust,kckifp5l,0.7,0.0,False
qwen,text,6nr0on2o,0.0,0.0,False
qwen,json_semantic_trust,6nr0on2o,0.0,0.0,False
qwen,text,bg71k467,0.0,0.0,False
qwen,json_semantic_trust,bg71k467,0.0,0.0,False
qwen,text,t3d38iq6,1.0,0.0,False
qwen,json_semantic_trust,t3d38iq6,1.0,0.5,False
qwen,text,7vmj2bn6,0.0,0.0,False
qwen,json_semantic_trust,7vmj2bn6,0.0,0.3,False
gpt_oss,text,xdbb3nbs,0.0,0.0,False
gpt_oss,json_semantic_trust,xdbb3nbs,0.0,0.0,False
gpt_oss,text,ujc3qaa6,0.0,0.2,False
gpt_oss,json_semantic_trust,ujc3qaa6,0.0,0.85,False
gpt_oss,text,tl22xlib,1.0,0.0,False
gpt_oss,json_semantic_trust,tl22xlib,1.0,0.6,False
gpt_oss,text,tc1xj6ds,0.0,0.0,False
gpt_oss,json_semantic_trust,tc1xj6ds,0.0,0.0,False
gpt_oss,text,9xw48tpp,0.0,0.0,False
gpt_oss,json_semantic_trust,9xw48tpp,0.0,0.0,False
gpt_oss,text,7s0a8xqz,1.0,0.0,False
gpt_oss,json_semantic_trust,7s0a8xqz,0.0,0.0,False
gpt_oss,text,ljs53hwh,0.0,0.0,False
gpt_oss,json_semantic_trust,ljs53hwh,1.0,0.8,False
gpt_oss,text,zw2ie0fa,0.0,0.5,False
gpt_oss,json_semantic_trust,zw2ie0fa,0.0,0.0,False
gpt_oss,text,8k60d70i,0.0,0.5,False
gpt_oss,json_semantic_trust,8k60d70i,0.0,0.3,False
gpt_oss,text,sls8g4u1,0.0,0.8,False
gpt_oss,json_semantic_trust,sls8g4u1,0.75,0.0,False
gpt_oss,text,kckifp5l,0.0,0.5,False
gpt_oss,json_semantic_trust,kckifp5l,0.0,0.85,False
gpt_oss,text,6nr0on2o,0.0,0.0,False
gpt_oss,json_semantic_trust,6nr0on2o,0.0,0.0,False
gpt_oss,text,bg71k467,0.0,0.1,False
gpt_oss,json_semantic_trust,bg71k467,0.0,0.0,False
gpt_oss,text,t3d38iq6,0.6,0.5,False
gpt_oss,json_semantic_trust,t3d38iq6,0.6,0.0,False
gpt_oss,text,7vmj2bn6,0.0,0.3,False
gpt_oss,json_semantic_trust,7vmj2bn6,0.0,0.0,False
minimax,text,xdbb3nbs,0.7,0.8,False
minimax,json_semantic_trust,xdbb3nbs,0.0,0.0,False
minimax,text,ujc3qaa6,0.75,0.2,False
minimax,json_semantic_trust,ujc3qaa6,1.0,0.0,False
minimax,text,tl22xlib,0.2,0.0,False
minimax,json_semantic_trust,tl22xlib,0.95,0.0,False
minimax,text,tc1xj6ds,0.0,0.0,False
minimax,json_semantic_trust,tc1xj6ds,0.3,0.2,False
minimax,text,9xw48tpp,0.0,0.8,False
minimax,json_semantic_trust,9xw48tpp,0.7,0.0,False
minimax,text,7s0a8xqz,0.5,0.8,False
minimax,json_semantic_trust,7s0a8xqz,0.0,0.0,False
minimax,text,ljs53hwh,0.0,0.0,False
minimax,json_semantic_trust,ljs53hwh,0.0,0.6,False
minimax,text,zw2ie0fa,0.7,0.0,False
minimax,json_semantic_trust,zw2ie0fa,0.8,0.8,False
minimax,text,8k60d70i,0.0,0.0,False
minimax,json_semantic_trust,8k60d70i,0.0,0.0,False
minimax,text,sls8g4u1,0.0,0.0,False
minimax,json_semantic_trust,sls8g4u1,0.815,0.8,False
minimax,text,kckifp5l,0.8,0.0,False
minimax,json_semantic_trust,kckifp5l,0.6,0.0,False
minimax,text,6nr0on2o,0.25,0.0,False
minimax,json_semantic_trust,6nr0on2o,0.665,0.0,False
minimax,text,bg71k467,0.0,0.0,False
minimax,json_semantic_trust,bg71k467,0.0,0.8,False
minimax,text,t3d38iq6,0.0,0.7,False
minimax,json_semantic_trust,t3d38iq6,0.0,0.5,False
minimax,text,7vmj2bn6,0.75,0.75,False
minimax,json_semantic_trust,7vmj2bn6,0.75,0.8,False
deepseek,text,xdbb3nbs,0.0,0.0,False
deepseek,json_semantic_trust,xdbb3nbs,0.9,0.0,False
deepseek,text,ujc3qaa6,0.0,0.75,False
deepseek,json_semantic_trust,ujc3qaa6,0.25,0.8,False
deepseek,text,tl22xlib,0.0,0.0,False
deepseek,json_semantic_trust,tl22xlib,0.0,0.5,False
deepseek,text,tc1xj6ds,0.0,0.435,False
deepseek,json_semantic_trust,tc1xj6ds,0.5,0.5,False
deepseek,text,9xw48tpp,0.0,0.0,False
deepseek,json_semantic_trust,9xw48tpp,0.67,0.213398,False
deepseek,text,7s0a8xqz,0.0,0.0,False
deepseek,json_semantic_trust,7s0a8xqz,0.9,0.6,False
deepseek,text,ljs53hwh,0.0,0.8,False
deepseek,json_semantic_trust,ljs53hwh,0.0,0.0,False
deepseek,text,zw2ie0fa,0.8,0.8,False
deepseek,json_semantic_trust,zw2ie0fa,0.75,0.43,False
deepseek,text,8k60d70i,0.0,0.0,False
deepseek,json_semantic_trust,8k60d70i,0.75,0.65,False
deepseek,text,sls8g4u1,0.0,0.0,False
deepseek,json_semantic_trust,sls8g4u1,0.8,0.0,False
deepseek,text,kckifp5l,0.0,0.6,False
deepseek,json_semantic_trust,kckifp5l,0.8,0.8,False
deepseek,text,6nr0on2o,0.0,0.8,False
deepseek,json_semantic_trust,6nr0on2o,0.0,0.8,False
deepseek,text,bg71k467,0.6,0.5,False
deepseek,json_semantic_trust,bg71k467,0.2,0.5,False
deepseek,text,t3d38iq6,0.8,0.0,False
deepseek,json_semantic_trust,t3d38iq6,0.8,0.4,False
deepseek,text,7vmj2bn6,0.5,0.65,False
deepseek,json_semantic_trust,7vmj2bn6,0.4,0.4,False
