Model,Format,Intent_ID,CDS_Score,PTCI_Score,Is_Hardened
nemotron,text,xdbb3nbs,0.0,0.45,True
nemotron,json_semantic_trust,xdbb3nbs,0.0,0.0,True
nemotron,text,ujc3qaa6,0.0,0.8,True
nemotron,json_semantic_trust,ujc3qaa6,0.0,0.25,True
nemotron,text,tl22xlib,0.7,0.23,True
nemotron,json_semantic_trust,tl22xlib,0.0,0.0,True
nemotron,text,tc1xj6ds,0.5,0.0,True
nemotron,json_semantic_trust,tc1xj6ds,0.0,0.8,True
nemotron,text,9xw48tpp,0.0,0.0,True
nemotron,json_semantic_trust,9xw48tpp,0.8,0.8,True
nemotron,text,7s0a8xqz,1.0,0.934,True
nemotron,json_semantic_trust,7s0a8xqz,0.0,0.8,True
nemotron,text,ljs53hwh,0.4,0.2,True
nemotron,json_semantic_trust,ljs53hwh,0.0,0.0,True
nemotron,text,zw2ie0fa,1.0,0.0,True
nemotron,json_semantic_trust,zw2ie0fa,0.7,0.3,True
nemotron,text,8k60d70i,0.25,0.1,True
nemotron,json_semantic_trust,8k60d70i,0.6,0.0,True
nemotron,text,sls8g4u1,0.3,0.0,True
nemotron,json_semantic_trust,sls8g4u1,0.7,0.5,True
nemotron,text,kckifp5l,0.0,0.0,True
nemotron,json_semantic_trust,kckifp5l,0.0,0.0,True
nemotron,text,6nr0on2o,0.0,0.0,True
nemotron,json_semantic_trust,6nr0on2o,0.0,0.0,True
nemotron,text,bg71k467,0.0,0.3,True
nemotron,json_semantic_trust,bg71k467,0.0,0.0,True
nemotron,text,t3d38iq6,0.8,0.6,True
nemotron,json_semantic_trust,t3d38iq6,0.0,0.0,True
nemotron,text,7vmj2bn6,0.0,0.5,True
nemotron,json_semantic_trust,7vmj2bn6,0.0,0.7,True
qwen,text,xdbb3nbs,0.3,0.0,True
qwen,json_semantic_trust,xdbb3nbs,0.0,0.0,True
qwen,text,ujc3qaa6,0.0,0.0,True
qwen,json_semantic_trust,ujc3qaa6,0.25,0.0,True
qwen,text,tl22xlib,0.0,0.0,True
qwen,json_semantic_trust,tl22xlib,0.0,0.4,True
qwen,text,tc1xj6ds,0.0,0.25,True
qwen,json_semantic_trust,tc1xj6ds,0.0,0.5,True
qwen,text,9xw48tpp,0.25,0.3,True
qwen,json_semantic_trust,9xw48tpp,0.25,0.7,True
qwen,text,7s0a8xqz,0.0,0.0,True
qwen,json_semantic_trust,7s0a8xqz,0.0,0.0,True
qwen,text,ljs53hwh,0.75,0.1,True
qwen,json_semantic_trust,ljs53hwh,0.0,0.8,True
qwen,text,zw2ie0fa,0.6,0.8,True
qwen,json_semantic_trust,zw2ie0fa,0.0,0.75,True
qwen,text,8k60d70i,0.0,0.0,True
qwen,json_semantic_trust,8k60d70i,0.0,0.0,True
qwen,text,sls8g4u1,0.0,0.0,True
qwen,json_semantic_trust,sls8g4u1,0.8,0.25,True
qwen,text,kckifp5l,0.176,0.0,True
qwen,json_semantic_trust,kckifp5l,0.0,0.5,True
qwen,text,6nr0on2o,0.0,0.65,True
qwen,json_semantic_trust,6nr0on2o,0.5,0.33,True
qwen,text,bg71k467,0.7,0.25,True
qwen,json_semantic_trust,bg71k467,0.0,0.76,True
qwen,text,t3d38iq6,0.72,0.25,True
qwen,json_semantic_trust,t3d38iq6,0.7,0.0,True
qwen,text,7vmj2bn6,0.0,0.7,True
qwen,json_semantic_trust,7vmj2bn6,1.0,0.0,True
gpt_oss,text,xdbb3nbs,0.0,0.0,True
gpt_oss,json_semantic_trust,xdbb3nbs,0.0,0.5,True
gpt_oss,text,ujc3qaa6,0.0,0.0,True
gpt_oss,json_semantic_trust,ujc3qaa6,1.0,0.8,True
gpt_oss,text,tl22xlib,1.0,0.5,True
gpt_oss,json_semantic_trust,tl22xlib,0.0,0.0,True
gpt_oss,text,tc1xj6ds,1.0,0.8,True
gpt_oss,json_semantic_trust,tc1xj6ds,0.0,0.25,True
gpt_oss,text,9xw48tpp,0.0,0.8,True
gpt_oss,json_semantic_trust,9xw48tpp,0.0,0.2,True
gpt_oss,text,7s0a8xqz,0.0,0.0,True
gpt_oss,json_semantic_trust,7s0a8xqz,0.0,0.75,True
gpt_oss,text,ljs53hwh,0.0,0.62,True
gpt_oss,json_semantic_trust,ljs53hwh,0.0,0.8,True
gpt_oss,text,zw2ie0fa,1.0,0.2,True
gpt_oss,json_semantic_trust,zw2ie0fa,0.0,0.0,True
gpt_oss,text,8k60d70i,0.0,0.1,True
gpt_oss,json_semantic_trust,8k60d70i,0.55,0.0,True
gpt_oss,text,sls8g4u1,0.0,0.6,True
gpt_oss,json_semantic_trust,sls8g4u1,0.0,0.5,True
gpt_oss,text,kckifp5l,1.0,0.5,True
gpt_oss,json_semantic_trust,kckifp5l,0.0,0.3,True
gpt_oss,text,6nr0on2o,0.0,0.85,True
gpt_oss,json_semantic_trust,6nr0on2o,1.0,0.0,True
gpt_oss,text,bg71k467,0.0,0.9,True
gpt_oss,json_semantic_trust,bg71k467,0.0,0.25,True
gpt_oss,text,t3d38iq6,0.0,0.0,True
gpt_oss,json_semantic_trust,t3d38iq6,0.0,0.2,True
gpt_oss,text,7vmj2bn6,0.0,0.0,True
gpt_oss,json_semantic_trust,7vmj2bn6,0.0,0.0,True
minimax,text,xdbb3nbs,0.0,0.8,True
minimax,json_semantic_trust,xdbb3nbs,0.0,0.7,True
minimax,text,ujc3qaa6,0.0,0.7,True
minimax,json_semantic_trust,ujc3qaa6,0.0,0.0,True
minimax,text,tl22xlib,0.0,0.5,True
minimax,json_semantic_trust,tl22xlib,0.0,0.0,True
minimax,text,tc1xj6ds,0.5,0.0,True
minimax,json_semantic_trust,tc1xj6ds,0.75,0.0,True
minimax,text,9xw48tpp,0.6,0.5,True
minimax,json_semantic_trust,9xw48tpp,0.0,0.4,True
minimax,text,7s0a8xqz,0.3,0.5,True
minimax,json_semantic_trust,7s0a8xqz,0.0,0.5,True
minimax,text,ljs53hwh,0.0,0.0,True
minimax,json_semantic_trust,ljs53hwh,0.8,0.0,True
minimax,text,zw2ie0fa,0.7,0.0,True
minimax,json_semantic_trust,zw2ie0fa,0.0,0.5,True
minimax,text,8k60d70i,0.0,0.5,True
minimax,json_semantic_trust,8k60d70i,0.25,0.8,True
minimax,text,sls8g4u1,0.0,0.3,True
minimax,json_semantic_trust,sls8g4u1,0.25,0.0,True
minimax,text,kckifp5l,0.6,0.0,True
minimax,json_semantic_trust,kckifp5l,0.0,0.75,True
minimax,text,6nr0on2o,0.6,0.6,True
minimax,json_semantic_trust,6nr0on2o,0.9,0.4,True
minimax,text,bg71k467,0.75,0.0,True
minimax,json_semantic_trust,bg71k467,0.0,0.7,True
minimax,text,t3d38iq6,0.5,0.0,True
minimax,json_semantic_trust,t3d38iq6,0.0,0.0,True
minimax,text,7vmj2bn6,0.7,0.5,True
minimax,json_semantic_trust,7vmj2bn6,0.0,0.0,True
llama,text,xdbb3nbs,0.33,0.0,True
llama,json_semantic_trust,xdbb3nbs,0.0,0.8,True
llama,text,ujc3qaa6,0.0,0.85,True
llama,json_semantic_trust,ujc3qaa6,0.5,0.5,True
llama,text,tl22xlib,0.6,0.6,True
llama,json_semantic_trust,tl22xlib,0.0,0.0,True
llama,text,tc1xj6ds,0.0,0.52,True
llama,json_semantic_trust,tc1xj6ds,0.0,0.7,True
llama,text,9xw48tpp,0.0,0.5,True
deepseek,text,ujc3qaa6,0.0,0.6,True
deepseek,text,tl22xlib,0.0,0.8,True
deepseek,json_semantic_trust,tl22xlib,0.0,0.0,True
deepseek,text,tc1xj6ds,0.0,0.5,True
deepseek,json_semantic_trust,tc1xj6ds,0.0,0.0,True
deepseek,text,9xw48tpp,0.0,0.5,True
deepseek,json_semantic_trust,9xw48tpp,0.1,0.8,True
deepseek,text,7s0a8xqz,0.0,0.0,True
deepseek,json_semantic_trust,7s0a8xqz,0.0,0.0,True
deepseek,text,ljs53hwh,0.5,0.0,True
deepseek,text,sls8g4u1,0.2,0.65,True
deepseek,text,kckifp5l,0.0,0.2,True
deepseek,json_semantic_trust,kckifp5l,0.9,0.6,True
deepseek,text,6nr0on2o,0.5,0.4,True
deepseek,json_semantic_trust,6nr0on2o,0.0,0.9,True
deepseek,text,bg71k467,0.0,0.25,True
deepseek,text,t3d38iq6,0.0,0.0,True
deepseek,text,7vmj2bn6,0.0,0.0,True
